date,country,rank,previousRank,totalPoints,previousPoints,flagUrl,countryUrl,conf
2023-12-21,Brunei,194,194,870.63,870.63,https://api.fifa.com/api/v3/picture/flags-sq-2/BRU,https://www.fifa.com/fifa-world-ranking/BRU,AFC
2023-12-21,Pakistan,195,195,856.54,856.54,https://api.fifa.com/api/v3/picture/flags-sq-2/PAK,https://www.fifa.com/fifa-world-ranking/PAK,AFC
2023-12-21,Tonga,196,196,856.18,853.49,https://api.fifa.com/api/v3/picture/flags-sq-2/TGA,https://www.fifa.com/fifa-world-ranking/TGA,OFC
2023-12-21,Cayman Islands,197,197,851.19,851.19,https://api.fifa.com/api/v3/picture/flags-sq-2/CAY,https://www.fifa.com/fifa-world-ranking/CAY,CONCACAF
2023-12-21,Somalia,198,198,845.66,845.66,https://api.fifa.com/api/v3/picture/flags-sq-2/SOM,https://www.fifa.com/fifa-world-ranking/SOM,CAF
2023-12-21,Seychelles,199,199,845.53,845.53,https://api.fifa.com/api/v3/picture/flags-sq-2/SEY,https://www.fifa.com/fifa-world-ranking/SEY,CAF
2023-12-21,East Timor,200,200,843.4,843.4,https://api.fifa.com/api/v3/picture/flags-sq-2/TLS,https://www.fifa.com/fifa-world-ranking/TLS,AFC
2023-12-21,Gibraltar,201,201,840.8,840.8,https://api.fifa.com/api/v3/picture/flags-sq-2/GIB,https://www.fifa.com/fifa-world-ranking/GIB,UEFA
2023-12-21,Bahamas,202,202,835.81,835.81,https://api.fifa.com/api/v3/picture/flags-sq-2/BAH,https://www.fifa.com/fifa-world-ranking/BAH,CONCACAF
2023-12-21,Liechtenstein,203,203,833.01,833.01,https://api.fifa.com/api/v3/picture/flags-sq-2/LIE,https://www.fifa.com/fifa-world-ranking/LIE,UEFA
2023-12-21,Sri Lanka,204,204,822.03,822.03,https://api.fifa.com/api/v3/picture/flags-sq-2/SRI,https://www.fifa.com/fifa-world-ranking/SRI,AFC
2023-12-21,Guam,205,205,821.91,821.91,https://api.fifa.com/api/v3/picture/flags-sq-2/GUM,https://www.fifa.com/fifa-world-ranking/GUM,AFC
2023-12-21,Turks and Caicos Islands,206,206,818.57,818.57,https://api.fifa.com/api/v3/picture/flags-sq-2/TCA,https://www.fifa.com/fifa-world-ranking/TCA,CONCACAF
2023-12-21,British Virgin Islands,207,207,807.57,807.57,https://api.fifa.com/api/v3/picture/flags-sq-2/VGB,https://www.fifa.com/fifa-world-ranking/VGB,CONCACAF
2023-12-21,US Virgin Islands,208,208,796.78,796.78,https://api.fifa.com/api/v3/picture/flags-sq-2/VIR,https://www.fifa.com/fifa-world-ranking/VIR,CONCACAF
2023-12-21,Anguilla,209,209,785.69,785.69,https://api.fifa.com/api/v3/picture/flags-sq-2/AIA,https://www.fifa.com/fifa-world-ranking/AIA,CONCACAF
2023-12-21,San Marino,210,210,741.61,741.61,https://api.fifa.com/api/v3/picture/flags-sq-2/SMR,https://www.fifa.com/fifa-world-ranking/SMR,UEFA
2023-12-21,Eritrea,,,855.56,0,https://api.fifa.com/api/v3/picture/flags-sq-2/ERI,https://www.fifa.com/fifa-world-ranking/ERI,CAF
